,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,artist,title
2547,0.511,0.64,5,-7.161,1,0.0276,0.0917,0.0,0.246,0.224,81.977,audio_features,4G29gmjS7Z2nEFeM7FA6wx,spotify:track:4G29gmjS7Z2nEFeM7FA6wx,https://api.spotify.com/v1/tracks/4G29gmjS7Z2nEFeM7FA6wx,https://api.spotify.com/v1/audio-analysis/4G29gmjS7Z2nEFeM7FA6wx,323867,4,Casting Crowns,Voice of Truth
2548,0.37,0.653,6,-6.819,1,0.0263,0.011,1.05e-05,0.115,0.346,164.152,audio_features,4Zyf0pjpdBBIfp4oax9PG5,spotify:track:4Zyf0pjpdBBIfp4oax9PG5,https://api.spotify.com/v1/tracks/4Zyf0pjpdBBIfp4oax9PG5,https://api.spotify.com/v1/audio-analysis/4Zyf0pjpdBBIfp4oax9PG5,297640,4,Casting Crowns,Praise You In This Storm
2549,0.522,0.592,11,-4.287,1,0.0255,0.0589,0.0,0.11,0.393,79.026,audio_features,0co8dS1eYzTanYw3N5BEvM,spotify:track:0co8dS1eYzTanYw3N5BEvM,https://api.spotify.com/v1/tracks/0co8dS1eYzTanYw3N5BEvM,https://api.spotify.com/v1/audio-analysis/0co8dS1eYzTanYw3N5BEvM,280880,4,Casting Crowns,Glorious Day (Living He Loved Me)
2550,0.641,0.633,6,-7.295,1,0.0271,0.104,0.0,0.262,0.279,114.993,audio_features,08shoW0qPqgMDnNQppWAQj,spotify:track:08shoW0qPqgMDnNQppWAQj,https://api.spotify.com/v1/tracks/08shoW0qPqgMDnNQppWAQj,https://api.spotify.com/v1/audio-analysis/08shoW0qPqgMDnNQppWAQj,305333,4,Casting Crowns,Thrive
2551,0.576,0.413,11,-7.935,1,0.0279,0.691,0.0,0.098,0.252,139.956,audio_features,2zqbu8PfKMlNHKBXUvLvWi,spotify:track:2zqbu8PfKMlNHKBXUvLvWi,https://api.spotify.com/v1/tracks/2zqbu8PfKMlNHKBXUvLvWi,https://api.spotify.com/v1/audio-analysis/2zqbu8PfKMlNHKBXUvLvWi,301173,4,Casting Crowns,God of All My Days
2552,0.619,0.701,6,-6.933,1,0.0403,0.00996,0.0,0.293,0.147,132.015,audio_features,7h3MFqQ6AZRQxc0FPpLmXx,spotify:track:7h3MFqQ6AZRQxc0FPpLmXx,https://api.spotify.com/v1/tracks/7h3MFqQ6AZRQxc0FPpLmXx,https://api.spotify.com/v1/audio-analysis/7h3MFqQ6AZRQxc0FPpLmXx,273133,4,Casting Crowns,When the God-man Passes By
2553,0.522,0.857,9,-6.511,1,0.0384,0.195,0.0,0.204,0.601,157.878,audio_features,5lSVszuv0PGnfvh2HTWq1k,spotify:track:5lSVszuv0PGnfvh2HTWq1k,https://api.spotify.com/v1/tracks/5lSVszuv0PGnfvh2HTWq1k,https://api.spotify.com/v1/audio-analysis/5lSVszuv0PGnfvh2HTWq1k,241747,4,Casting Crowns,All You've Ever Wanted
2554,0.446,0.0836,2,-14.143,1,0.0556,0.885,0.0,0.112,0.343,145.505,audio_features,4gmjQVNqjqyBKNEhzUUTUL,spotify:track:4gmjQVNqjqyBKNEhzUUTUL,https://api.spotify.com/v1/tracks/4gmjQVNqjqyBKNEhzUUTUL,https://api.spotify.com/v1/audio-analysis/4gmjQVNqjqyBKNEhzUUTUL,260867,4,Casting Crowns,House of Their Dreams
2555,0.553,0.545,5,-7.991,1,0.0279,0.291,0.0,0.136,0.333,135.88,audio_features,2oEy4YPNn1h6ZQRpcIFk6Q,spotify:track:2oEy4YPNn1h6ZQRpcIFk6Q,https://api.spotify.com/v1/tracks/2oEy4YPNn1h6ZQRpcIFk6Q,https://api.spotify.com/v1/audio-analysis/2oEy4YPNn1h6ZQRpcIFk6Q,249600,4,Casting Crowns,City On The Hill
2556,0.425,0.862,9,-3.996,1,0.0659,0.0553,0.0,0.221,0.459,164.044,audio_features,28Bao9cmaIMsqxragOM8ba,spotify:track:28Bao9cmaIMsqxragOM8ba,https://api.spotify.com/v1/tracks/28Bao9cmaIMsqxragOM8ba,https://api.spotify.com/v1/audio-analysis/28Bao9cmaIMsqxragOM8ba,239973,4,Casting Crowns,Courageous
2557,0.441,0.572,0,-6.058,0,0.0306,0.375,2.55e-06,0.125,0.117,76.026,audio_features,1TZ6JA8zODCeljlpxA10LT,spotify:track:1TZ6JA8zODCeljlpxA10LT,https://api.spotify.com/v1/tracks/1TZ6JA8zODCeljlpxA10LT,https://api.spotify.com/v1/audio-analysis/1TZ6JA8zODCeljlpxA10LT,296427,4,Casting Crowns,Mercy
2558,0.464,0.306,7,-8.795,1,0.0272,0.773,0.0,0.0741,0.182,78.125,audio_features,2AD1iPNwsV3Th0QI2Va4jb,spotify:track:2AD1iPNwsV3Th0QI2Va4jb,https://api.spotify.com/v1/tracks/2AD1iPNwsV3Th0QI2Va4jb,https://api.spotify.com/v1/audio-analysis/2AD1iPNwsV3Th0QI2Va4jb,248547,4,Casting Crowns,Blessed Redeemer
2559,0.563,0.467,2,-6.087,1,0.0241,0.0229,0.0,0.0945,0.241,77.982,audio_features,1syFMBjjRvL3uReOM8yWEb,spotify:track:1syFMBjjRvL3uReOM8yWEb,https://api.spotify.com/v1/tracks/1syFMBjjRvL3uReOM8yWEb,https://api.spotify.com/v1/audio-analysis/1syFMBjjRvL3uReOM8yWEb,291987,4,Aaron Shust,My Savior My God
2560,0.453,0.729,9,-4.767,1,0.0462,0.00775,0.0,0.12,0.413,144.031,audio_features,15ieUaAegwQRlmEigRUwTv,spotify:track:15ieUaAegwQRlmEigRUwTv,https://api.spotify.com/v1/tracks/15ieUaAegwQRlmEigRUwTv,https://api.spotify.com/v1/audio-analysis/15ieUaAegwQRlmEigRUwTv,230093,4,Aaron Shust,Ever Be
